INDEX,NOMBRE_DATA_VIAJES,NOMBRE_RESULTS_5,RATIO,
137,TRANSPORTES AUTOMOTORES 12 DE OCTUBRE,EMPRESA DE TRANSPORTES AUTOMOTORES 12 DE OCTUBRE S A ,95,
138,TRANSPORTES EL LITORAL S.A.,EMPRESA DE TRANSPORTES EL LITORAL S.A.,95,
139,TRANSPORTES UNIDOS DE MERLO,TRANSPORTES UNIDOS DE MERLO S.AC.I.I.,95,
140,VILLA GALICIA SAN JOSE S.A.,EXPRESO VILLA GALICIA SAN JOSE S.A.,95,
141,CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL,COMPAÑIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS S.R.L.,94,
142,EMPRESA DE TRANSPORTES 104 S.R.L.,EMPRESA DE TRANSPORTES 104 S.A.,94,
143,TRANSPORTES QUIRNO COSTA S.A.C.I.,TRANSPORTES QUIRNO COSTA SACEI.,94,
144,TRANSPORTES SUR-NOR C.I.S.A.,TRANSPORTES SUR NOR CISA,94,
145,NUEVO BUS DE OLAVARRÍA SRL,NUEVO BUS DE OLAVARRIA S.R.L.,94,
146,GRAL PUEYRREDON S.A.T.C.I.,GENERAL PUEYRREDON S.A.T.C.I,94,
147,TRANSPORTES SUR NOR C.I.S.A.,TRANSPORTES SUR NOR CISA,94,
148,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,ALMAFUERTE EMPRESA DE TRANSPORTE SACIEI,93,
149,EL PUENTE S.A.T.,EL PUENTE SAT,93,
150,MICRO OMNIBUS SUR S.A.C.,MICRO OMNIBUS SUR SA,93,
151,TRANSPORTES 1º SEPTIEMBRE S.A.,TRANSPORTES 1º DE SEPTIEMBRE SA,93,
152,TRANSPORTES RIO GRANDE S.A.C.I.F.,TRANSPORTES RIO GRANDE SACIF,93,
153,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,MICROOMNIBUS SAAVEDRA SATACI,92,
154,EMPRESA DE TRANSP. MARIANO MORENO S.A.,EMPRESA DE TRANSPORTES MARIANO MORENO S.A.,92,
155,EMPRESA DE TRANSPORTES TENIENTE GRAL ROCA S.A.,EMPRESA DE TRANSPORTE TTE GRAL ROCA SA,92,
156,LA VECINAL DE LA MATANZA S.A.C.I. DE MICROOMNIBUS,LA VECINAL DE MATANZA SACI DE MICROOMNIBUS,92,
157,TRANSPORTES AUTOMOTORES DE PASAJEROS SIGLO XI,TRANSPORTES AUTOMOTORES DE PASAJEROS SIGLO VEINTIUNO S.A.,92,
