anio;EMPRESA;TOTAL
2018;"MICRO OMNIBUS ESTE S.A";8263772
2018;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";33945765
2018;"MICRO OMNIBUS GRAL PACHECO SRL";14958935
2018;"MICRO OMNIBUS MITRE S.A.";20927236
2018;"MICRO OMNIBUS NORTE S.A.";30084896
2018;"MICRO OMNIBUS O´HIGGINS S.A.T.";6939131
2018;"MICRO OMNIBUS PRIMERA JUNTA S.A";37027941
2018;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";58899458
2018;"MICRO OMNIBUS SUR S.A.C.";17600400
2018;"MICRO OMNIBUS TIGRE S.A.";38043014
2018;"MICROEXPRES S.A.";2171949
2018;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A.";9059963
2018;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I";24445886
2018;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.";12078981
2018;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.";16012805
2018;"NUDO S.A.";32850660
2018;"NUEVO IDEAL S.A.";37667278
2018;"NUEVOS RUMBOS S.A.T.A.C.I.F.I.";22514312
2018;"PILAR BUS S.A";9458547
2018;"ROCARAZA S.A.";24467348
2018;"RUTA BUS S.A.";13901066
2018;"SAN VICENTE S.A. DE TRANSPORTES";46150765
2018;"SARGENTO CABRAL S.A.DE TRANSPORTE";31253682
2018;"SERGIO A. RIVAS S.R.L";1357229
2018;"SOCIEDAD ANONIMA EXPRESO SUDOESTE";19594767
2018;"SOFSE - Belgrano Sur";15958895
2018;"SOFSE - Mitre";62780469
2018;"SOFSE - Roca";168735207
2018;"SOFSE - San Martin";30490941
2018;"SOFSE- SARMIENTO";81951311
2018;"SOFSE- TREN DE LA COSTA";440245
2018;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.";10761378
2018;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.";6629712
2018;"TRANSP. SGTO. CABRAL";8381731
2018;"TRANSPORTE 11 DE JUNIO S.R.L.";4561978
2018;"TRANSPORTE AUTOMOTOR PLAZA S.A.C.I.";1030304
2018;"TRANSPORTE AUTOMOTORES LA PLATA SA";32577952
2018;"TRANSPORTE DEL SUR S.R.L.";7438681
2018;"TRANSPORTE ESCALADA S.A.T.";11045726
2018;"TRANSPORTE IDEAL SAN JUSTO S.A.";40320200
2018;"TRANSPORTE JOSE HERNANDEZ S.A.C.I.";6971111
2018;"TRANSPORTE LA UNION SA";13190831
2018;"TRANSPORTE LARRAZABAL C.I.S.A.";48315269
2018;"TRANSPORTE NUEVE DE JULIO SAC.";9480806
2018;"TRANSPORTES 1º SEPTIEMBRE S.A.";7813453
2018;"TRANSPORTES 27 DE JUNIO S.A.C.I.F.";79483
2018;"TRANSPORTES 270 S.A.";9133126
2018;"TRANSPORTES ALMIRANTE BROWN S.A.";14146108
2018;"TRANSPORTES ATLANTIDA S.A.C.";19659347
2018;"TRANSPORTES AUTOMOTORES  LANUS ESTE S.A.";11100023
2018;"TRANSPORTES AUTOMOTORES CALLAO S.A.";29134163
2018;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";30062520
2018;"TRANSPORTES AVENIDA BERNARDO ADER S.A.";16107697
2018;"TRANSPORTES COLEGIALES S.A.C.I.";10051785
2018;"TRANSPORTES DEL TEJAR S.A.";10107762
2018;"TRANSPORTES LA PERLITA S.A.";102581651
2018;"TRANSPORTES LINEA 123 S.A.C.I.";4362413
2018;"TRANSPORTES LOPE DE VEGA S.A.C.I.";38280733
2018;"TRANSPORTES NUEVA CHICAGO C.I.S.A.";16255803
2018;"TRANSPORTES QUIRNO COSTA S.A.C.I.";9507171
2018;"TRANSPORTES RIO GRANDE S.A.C.I.F.";26131510
2018;"TRANSPORTES SAN CAYETANO S.A.C.";4635720
2018;"TRANSPORTES SAN JUAN BAUTISTA S.A.";20012207
2018;"TRANSPORTES SANTA FE S.A.C.I.";18769760
2018;"TRANSPORTES SESENTA Y OCHO S.R.L.";16626951
2018;"TRANSPORTES SOL DE MAYO C.I.S.A.";8551795
2018;"TRANSPORTES SUR-NOR C.I.S.A.";21426438
2018;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";29396301
2018;"TRANSPORTES VILLA BOSCH SAC el";9606186
2018;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA";8781530
2018;"UNION PLATENSE SRL";37760556
2018;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T.";12471299
2018;"UNION TRANSPORTISTAS DE EMPRESAS SA";8354724
2018;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";5076355
2018;"UTENOR SA L 722";1900812
2018;"VUELTA DE ROCHA S.A.T.C.I.";9969630
2018;"YITOS S.A.";27702995
2017;"17 DE AGOSTO S.A.";10957866
2017;"4 DE SEPTIEMBRE S.A.T.C.P.";15232576
2017;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";49337556
2017;"ALMAFUERTE S.A.T.A.C.I.";12534581
2017;"AUTOBUSES BUENOS AIRES SRL";18362901
2017;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";58583926
2017;"BERNARDINO RIVADAVIA S.A.T.A.";23300084
2017;"BUENOS AIRES BUS SOCIEDAD ANONIMA";4242348
2017;"BUS DEL OESTE S.A.";5263261
2017;"CARDENAS S.A. EMPRESA DE TRANSPORTES";14935636
2017;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";13660401
2017;"CIA LA PAZ AMADOR MOURE SACIFIYA";9967850
2017;"COLECTIVEROS UNIDOS S.A.";13462047
2017;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";47931857
2017;"COMPAÑIA DE TRANSPORTE VECINAL S.A.";6224834
2017;"COMPAÑIA ISLEÑA S.R.L.";51701438
2017;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";23129498
2017;"COMPAÑIA NOROESTE S.A.T.";38064305
